String name, String context, X20(...) / XE(S) / V20, X18RS / X14(...) / T14 / V15, All other radios
FLASH_EXTERNAL_MULTIMODULE,,"Harici multimodülü flaşla"
MOVE_HERE,,"Buraya taşı"
OTA_UPDATE_ERROR,,"OTA güncelleme hatası"
UNSUPPORTED_RX,,"Desteklenmeyen RX"
MAIN_VOLTAGE,,"Ana voltaj"
DISPLAY_VOLTAGE_RANGE,,"Voltaj aralığını göster"
LOW_VOLTAGE,,"Düşük voltaj"
RTC_VOLTAGE,,"RTC voltajı"
UNKNOWN,,"Bilinmiyor"
FIRMWARE,,"Yazılım"
FIRMWARE_VERSION,,"Yazılım sürümü"
VIDEO_HARDWARE_VERSION,,"Video donanım sürümü"
RECEIVER,,"Alıcı"
NON_STABILIZED_RECEIVER,,"Stabilize edilmemiş alıcı"
VARIO,,"Vario"
MAIN_VOLUME,,"Ana ses"
AUDIO_VOLUME,,"Ses"
PITCH_AT_ZERO,,"Pitch sıfır"
SEQUENCE,,"Sıra"
PITCH_AT_MAX,,"Pitch maksimum"
REPEAT_AT_ZERO,,"Tekrar"
SILENT,,"Sessiz"
ALARMS_ONLY,,"Sadece alarmlar"
OFTEN,,"Sık"
ALWAYS,,"Her zaman"
NEVER,,"Hiçbir zaman"
WHEN_TELEMETRY_STREAMING,,"Telemetri akışı sırasında"
VOICE1,,"Ses 1 (ana)"
VOICE2,,"Ses 2"
VOICE3,,"Ses 3"
SUNDAY,,"Pazar"
MONDAY,,"Pazartesi"
TUESDAY,,"Salı"
WEDNESDAY,,"Çarşamba"
THURSDAY,,"Perşembe"
FRIDAY,,"Cuma"
SATURDAY,,"Cumartesi"
JANUARY,,"Ocak"
FEBRUARY,,"Şubat"
MARCH,,"Mart"
APRIL,,"Nisan"
MAY,,"Mayıs"
JUNE,,"Haziran"
JULY,,"Temmuz"
AUGUST,,"Ağustos"
SEPTEMBER,,"Eylül"
OCTOBER,,"Ekim"
NOVEMBER,,"Kasım"
DECEMBER,,"Aralık"
CURRENT,,"Akım"
VFAS,,"VFAS"
TEMPERATURE_2,,"Sıcaklık 2"
TEMPERATURE_1,,"Sıcaklık 1"
FUEL,,"Yakıt"
ACCX,,"AccX"
ACCY,,"AccY"
ACCZ,,"AccZ"
GPS_ALT,,"GPS yükseklik"
GPS_SPEED,,"GPS hız"
GPS_COURSE,,"GPS yön"
AIR_SPEED,,"Hava hızı"
BATTERY_1_VOLTAGE,,"Bat1 voltaj"
BATTERY_1_CURRENT,,"Bat1 akım"
BATTERY_2_VOLTAGE,,"Bat2 voltaj"
BATTERY_2_CURRENT,,"Bat2 akım"
RBOX_STATE_1,,"RBOX S1"
RBOX_STATE_2,,"RBOX S2"
BATTERY_1_CONSUMPTION,,"Bat1 tüketim"
BATTERY_2_CONSUMPTION,,"Bat2 tüketim"
BATTERY_1_TEMPERATURE,,"Bat1 sıcaklık"
BATTERY_2_TEMPERATURE,,"Bat2 sıcaklık"
SD1_CHANNEL,,"SD1CH"
ESC_VOLTAGE,,"ESC voltaj"
ESC_CURRENT,,"ESC akım"
ESC_RPM,,"ESC devir"
ESC_CONSUMPTION,,"ESC tüketim"
ESC_TEMPERATURE,,"ESC sıcaklık"
RB_OUTPUT_STATE,,"Çıkış durumu"
RB_CH1_A,,"CH1 akım"
RB_CH2_A,,"CH2 akım"
RB_CH3_A,,"CH3 akım"
RB_CH4_A,,"CH4 akım"
RB_CH5_A,,"CH5 akım"
RB_CH6_A,,"CH6 akım"
RB_CH7_A,,"CH7 akım"
RB_CH8_A,,"CH8 akım"
RB_CH9_A,,"CH9 akım"
RB_OUTPUT_1_VOLTAGE,,"Çıkış1 voltaj"
RB_OUTPUT_2_VOLTAGE,,"Çıkış2 voltaj"
GASSUIT_TEMP1,,"GASS sıcaklık 1"
GASSUIT_TEMP2,,"GASS sıcaklık 2"
GASSUIT_SPEED,,"GASS devir"
GASSUIT_RES_VOL,,"GASS rezerv hac."
GASSUIT_RES_PERC,,"GASS rezerv %"
GASSUIT_FLOW,,"GASS akış"
GASSUIT_MAX_FLOW,,"GASS maksimum akış"
